,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,ENT
377,4,2,1,1,1,1,1,5,1,1,1
378,1,2,1,1,1,2,1,4,1,1,1
379,2,3,1,1,1,1,1,2,1,1,1
380,3,3,1,1,1,1,1,4,1,1,1
381,4,3,1,1,1,1,1,4,1,1,1
382,5,3,1,1,1,1,1,3,1,1,1
383,1,3,1,1,1,1,1,6,1,1,1
384,2,2,1,1,1,1,1,4,1,1,1
385,4,3,1,1,1,1,1,4,1,1,1
386,5,2,1,1,1,1,1,5,1,1,1
387,1,2,1,1,1,1,2,2,1,1,1
388,2,2,4,1,1,1,2,11,1,1,1
389,4,3,1,1,1,1,1,6,1,1,1
390,5,2,1,1,1,1,1,3,1,1,1
391,1,3,1,1,1,1,1,3,1,1,1
392,2,2,1,1,1,1,2,4,1,1,1
393,3,3,1,1,1,1,1,6,1,1,1
394,4,3,1,1,1,1,1,7,1,1,1
395,5,1,1,1,1,1,1,1,1,1,1
396,1,3,1,1,1,1,2,4,1,1,1
397,2,3,1,1,1,1,1,1,1,1,1
398,3,2,1,1,1,2,1,6,1,1,1
399,4,2,1,1,1,1,2,6,1,1,1
400,5,2,1,1,1,1,1,6,1,1,1
401,1,2,1,1,1,1,1,6,1,1,1
402,2,3,1,1,1,1,1,2,1,1,1
403,3,3,1,1,1,1,1,8,1,1,1
404,4,2,1,1,1,2,2,1,1,1,1
405,5,2,1,1,1,1,2,3,1,1,1
406,1,3,1,1,1,1,1,4,1,1,1
407,2,3,1,1,1,1,1,2,1,1,1
408,3,3,1,1,1,1,1,5,1,1,1
409,4,3,1,1,1,1,1,3,1,1,1
410,1,3,1,1,1,2,1,3,1,1,1
411,2,3,1,1,1,1,1,3,1,1,1
412,3,3,1,1,1,1,1,12,1,1,1
413,4,2,1,1,1,1,2,11,2,2,1
414,5,3,1,1,1,1,1,2,1,1,1
415,1,2,1,1,1,1,1,7,1,1,1
416,3,3,1,1,1,2,2,1,1,1,1
417,4,2,1,1,1,1,1,5,1,1,1
418,5,2,1,1,1,1,1,4,1,1,1
419,1,2,1,1,1,1,1,6,1,1,1
420,2,3,1,1,1,1,1,6,1,1,1
421,3,2,1,1,1,2,2,4,1,1,1
422,5,2,1,1,1,1,1,7,1,1,1
423,1,3,1,1,1,1,1,4,1,1,1
424,2,3,1,1,1,1,1,1,1,1,1
425,3,3,1,1,1,1,2,4,1,1,1
426,4,3,1,1,1,1,1,9,1,1,1
427,5,2,1,1,1,1,1,4,1,1,1
428,1,3,1,1,1,1,1,8,1,1,1
429,3,3,1,1,1,1,1,2,1,1,1
430,4,3,1,1,1,1,1,4,1,1,1
431,5,2,1,1,1,1,1,1,1,1,1
432,1,3,1,1,1,1,2,3,1,1,1
433,2,3,1,1,1,1,1,4,1,1,1
434,3,3,1,1,1,1,1,3,1,1,1
435,4,3,1,1,1,1,1,4,1,1,1
436,5,2,1,1,1,2,2,1,1,1,1
437,1,3,1,1,1,1,1,2,1,1,1
438,3,3,1,1,1,1,1,4,1,1,1
439,4,3,1,1,1,1,1,4,1,1,1
440,5,3,1,1,1,1,1,2,1,1,1
441,1,3,1,1,1,1,1,3,1,1,1
442,4,3,1,1,1,1,1,4,1,1,1
443,5,3,1,1,1,1,1,2,1,1,1
444,1,3,1,1,1,1,1,1,1,1,1
445,2,3,1,1,1,1,1,7,1,1,1
446,3,3,1,1,1,1,1,2,1,1,1
447,4,3,1,1,1,1,1,3,1,1,1
448,5,3,1,1,1,1,1,4,1,1,1
449,1,3,1,1,1,1,1,2,1,1,1
450,3,3,1,1,1,1,1,1,1,1,1
451,4,3,1,1,1,1,1,4,1,1,1
452,5,3,1,1,1,1,1,5,1,1,1
